id	lemma	definition	class
0	string length	scope, the maximum vibrating length of the strings to produce sound, and determines the range of tones that string is capable of producing under a given tension	0
1	jest at	mock, subject to laughter or ridicule	0
2	take back	disown, take back what one has said	1
3	give the bounce	separate, terminate a relationship abruptly	0
4	confine to	decrease, restrict or confine within limits	0
5	back up	confirm, establish as valid or genuine	1
6	brace up	strengthen, make secure underneath	1
7	ease off	change, reduce pressure or intensity	1
8	Jewish calendar month	calendar month, a month in the Jewish calendar	0
9	Feast of Weeks	Jewish holy day, (Judaism) Jewish holy day celebrated on the sixth of Sivan to celebrate Moses receiving the Ten Commandments	1
10	Annunciation Day	quarter day, a festival commemorating the announcement of the Incarnation by the angel Gabriel to the Virgin Mary; a quarter day in England, Wales, and Ireland	1
11	break of day	hour, the first light of day	1
12	lunch period	mealtime, the customary or habitual hour for eating lunch	1
13	twenty-four hour period	time unit, time for Earth to make a complete rotation on its axis	0
14	vitamin A	fat-soluble vitamin, any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes	1
15	Gram's solution	solution, a solution used in staining bacteria by Gram's method; consists of one part iodine and two parts potassium iodide and 300 parts water	1
16	podsol soil	soil, a soil that develops in temperate to cold moist climates under coniferous or heath vegetation; an organic mat over a grey leached layer	0
17	oxidation-reduction indicator	indicator, an indicator that shows a reversible color change between oxidized and reduced forms	0
18	silk cotton	plant fiber, a plant fiber from the kapok tree; used for stuffing and insulation	1
19	gum arabic	gum, gum from an acacia tree; used as a thickener (especially in candies and pharmaceuticals)	1
20	burnt sienna	sienna, a reddish-brown pigment produced by roasting sienna	1
21	nonspecific urethritis	urethritis, inflammation of the urethra of unknown cause	1
22	multiple neuritis	neuritis, inflammation of many or all of the peripheral nerves (as in leprosy)	1
23	tic douloureux	neuralgia, intense paroxysmal neuralgia along the trigeminal nerve	1
24	stinking smut	smut, disease of wheat characterized by replacement of the grains with greasy masses of smelly smut spores	1
25	toe crack	sand crack, a crack on the forepart of a horse's hindfoot	1
26	Kernig's sign	symptom, symptom of meningitis; patient cannot extend the leg at the knee when the thigh is flexed because of stiffness in the hamstrings	1
27	splenic fever	zoonosis, a highly infectious animal disease (especially cattle and sheep); it can be transmitted to people	1
28	abdominal actinomycosis	actinomycosis, a serious form of actinomycosis that affects the abdomen	0
29	cane blight	blight, a disease affecting the canes of various bush fruits (e.g., raspberries or currants)	1
30	Cooley's anaemia	thalassemia, a fatal form of homozygous thalassemia (inherited from both parents) in which there is no hemoglobin; skeletal deformations; heart and spleen and liver enlarged	1
31	Still's disease	rheumatoid arthritis, a form of rheumatoid arthritis that affects children; large joints become inflamed and bone growth may be retarded	1
32	genetic disease	disease, a disease or disorder that is inherited genetically	0
33	ketosis-prone diabetes	diabetes mellitus, autoimmune disease, severe diabetes mellitus with an early onset; characterized by polyuria and excessive thirst and increased appetite and weight loss and episodic ketoacidosis; diet and insulin injections are required to control the disease	0
34	coronary thrombosis	thrombosis, coronary heart disease, obstruction of blood flow in a coronary artery by a blood clot (thrombus)	1
35	cerebral palsy	brain disorder, a loss or deficiency of motor control with involuntary spasms caused by permanent brain damage present at birth	1
36	endemic disease	disease, a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location	0
37	suspended animation	physical condition, a temporary cessation of vital functions with loss of consciousness resembling death; usually resulting from asphyxia	1
38	Sturm und Drang	disorder, a state of violent disturbance and disorder (as in politics or social conditions generally)	1
39	state of affairs	state, the general state of things; the combination of circumstances at a given time	1
40	past perfect	perfective, a perfective tense used to express action completed in the past	1
41	exponential expression	formula, a mathematical expression consisting of a constant (especially e) raised to some power	0
42	Iranian rial	Iranian monetary unit, the basic unit of money in Iran	0
43	Syrian monetary unit	monetary unit, monetary unit in Syria	0
